COMMAND      PID                 USER   FD   TYPE             DEVICE SIZE/OFF   NODE NAME
systemd-j    368                 root   89u  unix 0xffff8d7599794000      0t0  28122 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   90u  unix 0xffff8d7599796c00      0t0  28123 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   91u  unix 0xffff8d759994a800      0t0  28135 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   92u  unix 0xffff8d75997a3000      0t0  28144 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   93u  unix 0xffff8d7599948000      0t0  28209 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   94u  unix 0xffff8d75997a1400      0t0  28324 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   95u  unix 0xffff8d75997a0000      0t0  28248 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   96u  unix 0xffff8d75997a1c00      0t0  28265 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   97u  unix 0xffff8d75997a0800      0t0  28262 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   98u  unix 0xffff8d75bc386c00      0t0  30576 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   99u  unix 0xffff8d75c2b15400      0t0  29500 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root  100u  unix 0xffff8d75c2b16400      0t0  29502 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root  101u  unix 0xffff8d75bc36d400      0t0  29306 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root  102u  unix 0xffff8d75c2b10400      0t0  29307 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root  103u  unix 0xffff8d75bc386000      0t0  29548 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root  104u  unix 0xffff8d7599797000      0t0  29553 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root  105u  unix 0xffff8d759994b400      0t0  29554 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root  106u  unix 0xffff8d75d21d0800      0t0  29642 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root  107u  unix 0xffff8d75d21d3c00      0t0  29687 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root  108u  unix 0xffff8d75d21f9800      0t0  29978 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root  109u  unix 0xffff8d75c2883c00      0t0  29854 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root  110u  unix 0xffff8d75d21d3000      0t0  29693 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root  112u  unix 0xffff8d75bc386800      0t0  29814 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root  113u  unix 0xffff8d75c2880800      0t0  29741 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root  114u  unix 0xffff8d75d21d2400      0t0  29745 /run/systemd/journal/stdout type=STREAM (CONNECTED)
